developer,votes
Furiously Inactive Games,50
Abdullah Firat,50
Kerim Kumbasar,50
Praxia Entertainment,50
Frogames,49
Inu to Neko,49
Rhizome Games™,49
VinLia Games,49
Re零同人社,49
Eduard Mirica,49
GameHouse,49
Krin Juangbhanich,49
FURYU Corporation,49
polynation games ltd,49
e-visualsoft,49
Ish Games,49
Agate,49
Thoughtshelter Games,49
Most Wanted Entertainment,49
Warfare Studios,49
BeautiFun Games,48
Rogue Snail,48
DillyFrame,48
Pugsley LLC,47
NeXToNe,47
Ghost Fish Games,47
GFI Russia,47
Shinou Game Studio,47
Windmill Games,47
neko.works,47
Michael McCartney,47
Rake in Grass,47
Strategiae,47
RadiationBurn,46
GamersHype Productions,46
Kain Swartzbaugh,46
CSM,46
Alder Games,45
Parseh Game Studio,45
绚丽奈落,45
Soldak Entertainment,45
Immersion,45
RogueWare,45
NEXT-SOFT+,45
Electric Games,45
M. Hanka,45
Nathan Meunier,45
KURB,45
ZCH字母君,44
微信公众号：萌石,44
HeartBeast Studios L.L.C.,44
Ubisoft,44
Contec Games,44
Lost Goblin,44
Force Of Habit,44
Blue Entropy Studios,44
Vivid Helix,44
0Cube,43
Polytale,43
Orangepixel,43
Boogygames Studios,43
SimProse Studios,43
Panic Ensues Software,43
Yash Future Tech Solutions Pvt Ltd,43
Naarassusi Game,43
NerdyYetis,43
睦月文化,43
DIGIDICED,43
Good Game Co.Ltd,43
Nuclear Tales,43
"Sports Mogul, Inc.",42
HOF Studios,42
Bludgeonsoft,42
mPower Games Studio,42
Mad Devices,42
Brainwashing Games,42
Porcelain Fortress,42
DXF Games,42
Drixxel Soft,42
MUIFWEGO,42
Nitrous Butterfly,42
"Volition, Inc.",41
ALTAR Interactive,41
3 Minute Games,41
Anti Gravity Game Studios,41
Pig's Indie Games,41
Frostbullet,41
Mascot Entertainment,40
成都数艺互动科技有限公司,40
MassHive Media,40
Mind Over Matter Studios,40
BaileyHausdorff Systems,39
Acute Games,39
Fred Sauer,39
icefill,39
Pixel Wizards,39
Pathos Interactive,39
Hong Kong Netease Interactive Entertainment Limited,39
Aartform Games,39
North Side,39
Robot Circus,39
Heart Shaped Games LLC,39
Warballoon,39
Parabox Games,39
Cyclone Studios,39
Tri-Coastal Games,39
Traptics,38
Nerve Software LLC,38
ActaLogic,38
radiostatic,38
BySamb,38
Q'Prod,38
Curious Studio,38
Interbellum team,38
League of Sweat Ent.,37
Coreplay GmbH,37
DigiFeather,37
Aleksandar Kuzmanovic Games,37
Albatros Softworks,37
Anarkis Gaming,37
"Crow's Key Studios, LLC",37
C Prompt Games,37
Thomas ZIGHEM,37
Dinofarm Games,37
DeSync Studios,37
Alternative Software Ltd,36
HexGameStudio,36
Dieselmine,36
Monticube,36
Hermes Interactive,36
Elder Games,36
Sherman3D,36
tenacious718,36
Gerd Kortemeyer et al.,36
Bretwalda Games,36
Hothouse Creations Ltd,36
Monte Cristo,36
Deonn Software ltd.,36
80Arcade,36
Wooden Monkeys,35
Sean O'Connor,35
JoyCrafter,35
Rocket Cola Studio,35
invwindy,35
Assemble Entertainment,35
