developer,votes
DotEmu,1698
CSR-Studios,1696
HypeTrain Digital,1694
Frogwares,1688
Unusualsoft,1681
Exor Studios,1669
Dreamworlds,1656
Puny Human,1652
Light Bringer Games inc.,1651
Playtonic Games,1643
General Arcade,1638
Boss Key Productions,1638
Knuist & Perzik,1626
Skullcap Studios,1619
Zero Point Software,1610
sparsevector,1598
"Rocketeer Games Studio, LLC",1592
Endlessfluff Games,1589
"Artix Entertainment, LLC",1584
Marco Amadei,1582
Cross-Product,1581
Roll7,1579
Idol FX,1577
Butterscotch Shenanigans,1571
Stainless Games Ltd,1551
ColdGames,1550
Zootfly,1549
Climax Studios,1546
RocketWerkz,1545
Tribute Games Inc.,1545
EarthWork Games,1524
Metanet Software Inc.,1517
Paul Bird,1516
Croteam VR,1510
Noclip,1499
Stage 2 Studios,1494
Bedtime Digital Games,1491
"Move Games Co., Ltd.",1491
EA - Maxis,1490
NIGORO,1485
WOLCEN Studio,1481
Black Forest Games,1477
Nearga,1470
Pipliz,1470
Nuke Nine,1467
Brilliant Game Studios,1464
isTom Games Kft.,1463
FreezeNova,1461
Joakim Sandberg,1460
HopFrog,1457
Dreadlocks Ltd.,1457
Section Studios,1456
Infinite Monkeys Entertainment Ltd.,1453
"Revival Productions, LLC",1441
Retro Army Limited,1436
Black Eye Games,1435
"CAVE Interactive CO.,LTD.",1433
5 Lives Studios,1420
Lion's Shade,1411
Toxic Games,1408
VaragtP,1405
Infinite Dreams,1403
DYA Games,1389
NukGames,1387
Panzar Studio,1378
Question,1368
Opus,1367
Ascaron Entertainment ltd.,1367
Konsordo,1347
Caged Element Inc.,1343
Artifice Studio,1339
Periscope Games,1333
Treasure,1328
Naddic Games,1327
Noble Muffins,1326
Crazy Viking Studios,1311
Dambuster Studios,1294
Maverick Game Studio,1284
Reperio Studios,1273
EA Black Box,1270
EA Los Angeles,1264
Alastair John Jack,1256
Kinto Games LLC,1253
Megadev,1250
Born Ready Games Ltd.,1249
Sluggerfly,1246
Videocult,1234
Hesketh Studios Ltd,1233
D.K Studio,1233
Pragmatix Ltd,1225
Owlet,1218
5 Bits Games,1218
"Volition, Inc.",1217
Strangely Interactive Ltd,1216
Witch Beam,1211
黄昏フロンティア,1207
Think Arcade,1203
Tomoaki Sugeno,1202
raptor lab,1198
Zen Studios,1198
Deadpan Games,1197
Bob,1195
Ragequit Corporation,1191
Night Node,1190
Waygetter Electronics,1178
JoyMasher,1169
BlackSpot Entertainment,1165
Flow Fire Games,1164
Deli Interactive LLC,1159
tinyBuild,1152
Atelier 801,1151
Game Developer X,1148
Restory Studio,1140
Pixile,1139
Crema,1135
Subworld,1133
BlueEagle Productions,1128
Rising Star Games,1122
WarpFrog,1121
Neople,1102
Turning Wheel LLC,1093
RageSquid,1091
Samurai Punk,1090
Ostrich Banditos,1088
Game-Labs,1088
Nival,1083
"Schine, GmbH",1080
Hoplon,1079
Ironward,1069
WildTangent,1068
Rebuilt Games,1062
People Can Fly,1062
Easy Day Studios Pty Ltd,1061
Racing Bros,1057
NoClip,1054
"CAPCOM CO., LTD",1043
AbstractArt,1038
Orange_Juice,1037
Buka Game Studio,1036
Elliptic Games,1035
A.Y.std,1033
Andy Wallace,1032
Steel Monkeys,1031
JetCat Games,1031
Gaijin Entertainment Corporation,1030
Neognosis,1025
"Standing Stone Games, LLC",1022
Alda Games,1018
Housemarque,1016
Turbo Pixel Studios,1003
Ensemble Studios,1000
NEXT Studios,997
5th Cell Media,997
Empty Clip Studios,993
Trinket Studios,991
Infinitap Games,988
Nerdook Productions,986
ZackBellGames,978
Labyrinthine,971
Outerminds Inc.,970
Squid In A Box Ltd,969
Boss Baddie,967
Pine Studio,966
HE SAW,964
SadSquare Studio,961
Merixgames,957
Fred Wood,954
Retro Yeti Games,952
Frogmind,949
EfimovMax,948
NovaLogic,947
Tate Multimedia,941
"Voidpoint, LLC",935
Xtal Sword,934
Signal Studios,924
