developer,votes
Sir Bedlam Productions,433
Flix Interactive,432
Falcon Development,432
Biart Company LLC,432
inbetweengames,428
Akakiy Petrushkin,422
Gogii Games,422
Goblinz,422
Greg Lobanov,421
Tale of Tales,421
No Strike,421
GrisGris,420
Sir-Tech Canada,419
Master Indie,418
BVRgame,417
Spell Helix,416
ThroughLine Games,415
一次元创作组,412
"MicroProse Software, Inc",410
Borealys Games,410
Funktronic Labs,409
Oreol,407
Endless Loop Studios,406
Movie Games Lunarium,406
TERC,406
Ivanovich Games,406
Digital Cybercherries,405
773,403
Gameloft,402
Alan Edwardes,402
Super Trampers Studio,402
LaboRatStudio,402
BLESTWORKS,401
Whale Rock Games,401
Fantasy Flight Games,401
Insomniac Games,399
Nitroplus,399
Ludomotion,398
Teotl Studios,396
Sinclair Strange,396
東方幕華祭制作组,395
HeadHuntersGames,395
Yume Creations,395
No Goblin,394
Phantom Compass,394
Animation Arts,393
"Entwell Co., Ltd.",390
Dreampainters,389
Sonic Team,388
ILLUSION,388
MumboJumbo,386
Maverick Games,386
Mimimi Productions,386
Last Quarter Studios,383
Astronomic Games,382
Quadro Delta,382
Big Fat Simulations Inc.,381
ds-sans,380
Organic 2 Digital Studio,378
Tonguç Bodur,377
Dharker Studio,376
Panoramik Inc,376
Size Five Games,376
Tribe Studios,375
Anate Studio,374
BigTapir Games,374
PanicBarn,373
IDHAS Studios,372
WizarBox Production,372
Winter Wolves,372
Unlok,371
Amaterasu Software,370
Kukouri Mobile Entertainment,369
SMILE,369
Tasty Stewdios LLC,368
Lohsoft,368
Lostwood,368
aiueoKompany,365
Gojira,364
Ballistic Interactive,363
OnSkull Games,363
Squiddershins,362
inkle Ltd,361
Nemoria Entertainment,361
Rockodile,360
Kyle Pulver,359
DRUNKEN APES,359
Crankage Games,357
Nate Schmold,357
Majorariatto,356
Sweet Dog Studios,354
Fatshark,352
"Nicalis, Inc.",352
Fummy,351
White Owls Inc.,350
anchor Inc.,349
Fresh3D,349
Juggernaut Games,349
Back To Basics Gaming,348
Untame,348
Rat King Entertainment,345
2 Zombie Games,344
Borne Games,344
AdroVGames,344
Talawa Games,343
Angry Demon Studio,341
PixelGreeds,341
Titans,341
SpaceCan,340
GexagonVR,339
Crazyant,338
Date Nighto,338
Swordtales,337
Maru Project Develop Team,337
Alexey Roenko,336
Red Herring Labs,336
Anarchy Enterprises,336
Darkling Room,334
Ultra Runaway Games,334
IndieGala,332
"APLUS Co., Ltd",332
KeroQ,331
NodziGames,331
WZOGI,330
Outcorp,330
Cotton Game,329
"Act 3 Games, LLC",329
Digital Leisure Inc.,329
"Bimboosoft Co.,Ltd.",327
thatgamecompany,327
"Fatbot Games, s. r. o.",326
Leiting Interactive,325
David Amador,325
Kerim Kumbasar,325
Blyts,324
Innerspace VR,323
XII Games,323
Shaman Games Studio,323
VDO Games,321
GAME FREAK inc.,319
Neckbolt,319
Great Cogs,319
Ankama Games,318
Moonrise Interactive,317
Pewter Games Studios,317
Trickster Games,316
ACE MADDOX,314
Disaster Studio,314
Albino Moose Games,313
Jace Masula,312
Construct Studio,311
Stranga,311
Overflow,311
Space Wedgie,310
Eroducate,309
Tall Tail Studios,309
McMagic Productions s.r.o.,307
Stirfire Studios,307
Ionized Games,307
GK,307
Rumpus,307
Team Gotham,306
Katapult,306
Just Fishing LLC,305
Walk Thru Walls Studios,305
Sundae Month,304
Red Limb Studio,304
SDP Games,304
Robert Alvarez,303
Joe Richardson,303
Frogdice,302
Bernt Andreas Eide,302
WolfgangIs,302
Nowhere Studios,301
N-Fusion Interactive,301
Green Dinosaur Games,301
HumaNature Studios,300
Platonic Partnership Ltd,300
"Honor Code, Inc.",300
Antagonist,297
Deck13,297
Hellbent Games,297
Prospect Games,295
NetEase Games,294
Battlecruiser Games,294
GOGII Games,293
IndieLeague Studio,292
No Matter Studios,292
Pixel Maniacs,291
MIROWIN,290
"Hassey Enterprises, Inc.",289
Perun Creative,288
Enter Skies,288
Arachnid Games,287
XGen Studios,287
Juvty Worlds Ltd.,285
うんこモリモリ丸,285
Arc System Works,283
Estelion,283
Haggard Games,283
Brawsome,283
Larkon Studio,283
Neat Corporation,283
PostMod Softworks,282
Rival Games Ltd,282
Forge Reply srl,282
Steve Gal,281
Ska Studios,281
Lokator Studio,280
Alawar Stargaze,279
Farjay.com,279
AKABEiSOFT2,278
La Moutarde,276
Klace,273
Redro Games,273
Crian Soft,272
Croteam VR,272
DoubleMoose Games,270
Dymchick1,270
Unbound Creations,270
Teku Studios,270
VRWERX,270
Robot Invader,269
Transolar Games,269
开水工作室,269
SONNORI Corp,269
Iteration 11,268
Walnut LLC,267
