developer,votes
NP Studios,2
Lotte|EoD,2
FireVector,2
SimProse Studios,2
Souper Chef,2
Black Forest Games,2
Sylvain Seccia,2
Bit2Good Ug,2
creasso,2
GiBar,2
HoldensVR,2
SharF Co.,2
Robert Cardona,2
Play Publishing,2
Nitroglycerin Ltd.,2
Eipix,2
ASC Games,2
NedoStudio,2
StepUnique,2
Retraissance,2
Attract Mode Games,1
Nyanko Gaming,1
Mika Spin Games,1
Mardonpol Inc.,1
Payoff Technologies,1
Tehawar,1
Hot Knife Digital Media,1
Tradosoft,1
Federico Jimenez,1
Independent Arts Software,1
Drop Dead Interactive,1
Downpour Studios,1
Kayo Carvalho,1
Duel Studios,1
Art Of Adventures,1
Null Reference Games LLC,1
"Doonamai, LLC",1
Flavio Rausa,1
PalveGames,1
The Most,1
Eroticon VR,1
Yeong Beum Lee,1
SparkLightGames,1
TeamTO Games,1
Captain,1
Morla Games,1
MJ Lovegrove,1
Khizer Awan,1
Noctecraft Entertainment,1
Fire Leaf Studio,1
Backburner Games,1
LoadUpGames.com,1
Repixel8,1
MooCow Games,1
Teletower Studios,1
Boogie Down Games llc,1
Jollyfish Games,1
Tomimar,1
Super Soul LLC,1
BigAnt Studios,1
Mindwedge,1
EnsenaSoft,-1
Playloft,-1
Domus ludus,-1
Rafael Farias,-1
BattleGames,-1
NK CREATIV TEAM,-1
BigBro Games,-1
Carlos,-1
Avalanche Software,-1
SelenaJ,-1
Floor Chicken,-1
exosyphen studios,-1
Deceptive Games,-1
Vadim Silvestrov,-1
Action Portal,-1
WARMA Corporation,-1
Outlier Interactive,-1
Angry Angel Games,-1
VRMonkey,-1
Simple Racing,-1
Useless Machines,-1
SweetApple,-1
Ground Control Studios,-1
Coolegion Studios,-1
Papaya Studio,-1
AWE Games,-1
Potato Games,-1
Steampunk Wizards,-1
Scarab Entertainment,-2
U24 Solutions,-2
Sexy Miss Studio,-2
Quandary Solutions LTD,-2
BeshevGames,-2
MOGA Creative,-2
BrainStrainStudios,-2
Charles Cochrane,-2
Academtech LLC,-2
AntiAnti,-2
40Ggames,-2
Awesome Industries,-2
Binary Giants,-2
Kedexa,-2
Juicy Lab,-2
Foxie Ventures,-2
Sergey Sevostyanov,-2
Magicvalley Studio,-2
VR Triber,-2
Axyos Games,-2
"""Nikita """"Ghost_RUS""""""",-3
Destiny.Games,-3
Sandbank Studios Ltd,-3
Dreamsoft,-3
2xMilk,-3
Fury Games Production,-3
Caipirinha Games,-3
People Gotta Play,-3
Kiwa Games,-3
Weiqiang Ou,-3
Microids,-3
Curious Studio,-3
magnussoft,-3
Mirador Studio,-4
Black Room Games,-4
Dexion Games,-4
Coffee-Powered Games,-4
视趣互动（天津）科技有限公司,-4
hede,-5
Simulators Live,-5
Bullid Games,-5
Garnudo Games,-5
dev4play,-5
Cosmicdev,-5
Beyond Games,-5
Refugio3D,-5
AngryAngelGames,-5
alexeibelih,-6
Speedspark Studio,-6
ghiboz,-6
Theodor Niklas,-6
BitsAlive Game Studios,-6
Wyrmbyte,-6
Bad Panda Games,-6
Fun Games For Free,-6
Displacement Studios,-7
Fogbound,-7
Paradox Terminal,-7
Digitallion,-7
hallunazigames,-7
Umbress Games,-7
No-Brain Studio,-7
"Tastee Beverage Studios, LLC",-7
UMBRESS,-8
Royal Deal Games,-8
Magic VR,-8
Screeching Wizard,-8
OM ENTERTAINMENT,-8
Mateusz Kulis,-8
CasGames,-9
Team 6,-10
David Pierucci,-10
JDRumble,-11
Bongfish GmbH,-11
AOS GAME,-11
Silden,-11
Viewpoint Games,-12
khos85,-12
Flight Systems LLC,-13
Atomicom Limited,-13
Sandbox Games,-14
LucasGame,-14
GameTop.com,-14
Yash Future Tech Solutions Pvt Ltd,-15
Dream Up,-15
Falco Software,-15
Sky Fallen,-16
Homewreckers Studio,-16
Nuligine,-17
Wild Wolf Std,-18
KABloom Interactive,-18
Electric Root,-18
Alongini,-19
Tero Lunkka,-20
Cascadia Games,-20
Kiddy,-20
azimut team,-21
Artematica Entertainment,-23
Apillo,-24
T-Bull S.A.,-24
Easy game,-25
10Ants Hill,-25
RS Games,-26
Rainbow Goats Studio,-26
Narko Games,-26
SilentFuture,-26
Polynetix Studio,-28
ODD Games,-30
VGstudio,-32
Psychic Games Ltd.,-41
Homa Design,-42
Zhoori Maang Entertainment,-45
Ghost Machine,-48
Micro Factory Games,-49
JDM4iK Games,-53
IceTorch Interactive,-54
Rock Crow,-67
Vae Victis Games,-85
251 Games,-94
Raum Studio,-134
30.06 Studios Ltd,-136
PiGravity,-361
Team 6 Studios,-1782
