developer,votes
Green-eyed Taxi,-6
Action Portal,-6
Wyrmbyte,-6
Casual.US,-6
Simulators Live,-7
Digitallion,-7
13-lab,-7
Kavkaz Sila Games,-7
Playloft,-8
Magic VR,-8
Lost the Game Studios,-8
Hebi Studios,-8
PokerStars Mobile Limited,-9
Robert Cardona,-9
Sanuk Games,-9
Yash Future Tech Solutions Pvt Ltd,-10
Neutron Games GmbH,-11
Game Mechanic Studios,-11
JDRumble,-11
AOS GAME,-11
ZovGame,-11
Dexion Games,-12
Z-Software GmbH,-12
Geniaware Srl,-13
Oryzhon Studios,-13
BigBlaze Games,-13
Black Sheep Studio,-13
Sandbox Games,-14
LucasGame,-14
Salsawi,-14
Eko Software,-14
Narko Games,-16
Homewreckers Studio,-16
Twelve Games,-17
Neopica,-17
The Tambourine,-17
Laudo Games,-18
TTCX Inc.,-19
Alongini,-19
Raylight Games,-20
CasGames,-20
Novation Games,-21
FG,-23
Apillo,-24
Snkl Studio,-24
RS Games,-26
South East Games,-27
89AM Studio,-28
khos85,-28
Genee Network,-29
"Fancy Bytes, Reactor",-31
VGstudio,-32
André Bertaglia,-32
MLB.com,-39
Zhoori Maang Entertainment,-45
Ghost Machine,-48
JDM4iK Games,-53
IceTorch Interactive,-54
Three Fields Entertainment,-54
Rock Crow,-67
WTFOMGames,-71
Vae Victis Games,-85
Cyanide,-90
Millenway,-105
Gabriel Interactive,-122
Breakpoint,-144
ShadowWolf Games,-180
Josh Tam Universe,-259
Konami Digital Entertainment,-812
Visual Concepts,-11762
